release_date,budget,revenue_worldwide,runtime,genres,cast_popularity_mean,cast_popularity_max,director_popularity,original_language,imdb_rating,imdb_votes,mpaa_rating,domestic_box_office,rotten_tomatoes_score,metacritic_score,season
2004-06-11,400000.0,46118097.0,95,['Comedy'],1.358066666666666,2.479,1.3126,en,7.0,251071.0,PG,44540956.0,72.0,64.0,Summer
2021-02-06,35000000.0,70000000.0,117,"['Animation', 'Fantasy', 'Action']",0.865499999999999,1.3269,0.5921000000000001,zh,6.8,4451.0,TV-14,0.0,80.0,58.0,Winter
2021-02-12,35000000.0,83977925.5,115,"['Romance', 'Comedy', 'Drama']",3.196233333333333,5.6727,0.20370000000000002,en,6.3,37385.0,TV-14,0.0,79.0,65.0,Winter
2003-05-30,94000000.0,940335536.0,100,"['Animation', 'Family']",1.427566666666666,1.8011,1.2339,en,8.2,1185437.0,G,380843261.0,99.0,90.0,Spring
2000-09-01,12500000.0,40061153.0,140,"['Drama', 'Crime']",1.903566666666666,2.5962,2.2434,en,7.9,122419.0,R,4184036.0,69.0,63.0,Fall
2023-10-06,35000000.0,83977925.5,93,"['Comedy', 'Mystery']",0.8359000000000001,1.1153,0.12380000000000001,es,5.1,2120.0,TV-14,0.0,60.0,58.0,Fall
2020-10-04,35000000.0,83977925.5,95,['Comedy'],0.592566666666666,0.8846,0.32430000000000003,it,5.9,1377.0,N/A,0.0,64.0,58.0,Fall
2003-07-09,140000000.0,655011224.0,143,"['Adventure', 'Fantasy', 'Action']",4.2609,6.6058,0.8297,en,8.1,1298018.0,PG-13,305413918.0,79.0,63.0,Summer
2022-06-17,35000000.0,83977925.5,113,"['Drama', 'Science Fiction']",0.9959666666666661,1.4961,0.4988,ja,6.6,2814.0,N/A,0.0,95.0,70.0,Summer
2003-10-10,30000000.0,180906076.0,111,"['Action', 'Crime']",6.150433333333333,9.6562,4.0946,en,8.2,1279130.0,R,70099045.0,85.0,69.0,Fall
2013-09-04,12000000.0,87100449.0,123,"['Drama', 'Romance', 'Fantasy']",4.747233333333333,6.4297,1.574,en,7.8,421226.0,R,15322921.0,71.0,55.0,Fall
2004-07-16,1000000.0,1574623.0,70,"['Drama', 'Music', 'Romance']",1.039066666666666,1.7807,0.4622,en,4.7,25019.0,Not Rated,66853.0,23.0,43.0,Summer
